antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Jhin'}),frozenset({'Lux'}),0.0821256038647343,0.1323671497584541,0.01642512077294686,0.2,1.5109489051094893,1.0,0.005554388667180098,1.0845410628019323,0.368421052631579,0.08292682926829269,0.07795100222717152,0.16204379562043797
frozenset({'Lux'}),frozenset({'Jhin'}),0.1323671497584541,0.0821256038647343,0.01642512077294686,0.12408759124087593,1.510948905109489,1.0,0.005554388667180098,1.0479066022544283,0.3897550111358575,0.08292682926829269,0.04571648098348061,0.16204379562043797
frozenset({'Caitlyn'}),frozenset({'Lux'}),0.10434782608695652,0.1323671497584541,0.015458937198067632,0.14814814814814814,1.119221411192214,1.0,0.0016467128754463368,1.0185255198487713,0.1189320388349516,0.06986899563318777,0.01818856718634002,0.1324682346580157
frozenset({'Lux'}),frozenset({'Caitlyn'}),0.1323671497584541,0.10434782608695652,0.015458937198067632,0.11678832116788322,1.1192214111922143,1.0,0.0016467128754463368,1.0140855192238591,0.12277282850779525,0.06986899563318777,0.013889873148607486,0.1324682346580157
frozenset({'Jhin'}),frozenset({'Darius'}),0.0821256038647343,0.1111111111111111,0.014492753623188406,0.1764705882352941,1.588235294117647,1.0,0.0053676865271068165,1.0793650793650793,0.40350877192982454,0.08108108108108109,0.07352941176470587,0.15345268542199486
frozenset({'Darius'}),frozenset({'Jhin'}),0.1111111111111111,0.0821256038647343,0.014492753623188406,0.13043478260869565,1.588235294117647,1.0,0.0053676865271068165,1.0555555555555556,0.41666666666666663,0.08108108108108109,0.05263157894736842,0.15345268542199486
frozenset({'MissFortune'}),frozenset({'Lux'}),0.1111111111111111,0.1323671497584541,0.014492753623188406,0.13043478260869565,0.9854014598540146,1.0,-0.0002147074610842712,0.9977777777777778,-0.01639344262295071,0.06329113924050633,-0.0022271714922048906,0.11996191685179308
frozenset({'Lux'}),frozenset({'MissFortune'}),0.1323671497584541,0.1111111111111111,0.014492753623188406,0.10948905109489052,0.9854014598540147,1.0,-0.0002147074610842712,0.9981785063752276,-0.016788321167883098,0.06329113924050633,-0.0018248175182481625,0.11996191685179308
frozenset({'Jinx'}),frozenset({'Lux'}),0.10338164251207729,0.1323671497584541,0.01352657004830918,0.13084112149532712,0.9884712463333107,1.0,-0.00015776330836191933,0.9982442470521012,-0.012840969531190415,0.060869565217391314,-0.0017588410382365495,0.11651545125861247
frozenset({'Lux'}),frozenset({'Jinx'}),0.1323671497584541,0.10338164251207729,0.01352657004830918,0.10218978102189782,0.9884712463333107,1.0,-0.00015776330836191933,0.998672479478418,-0.013264264971352096,0.060869565217391314,-0.0013292851749307653,0.11651545125861247
