Champion,Opponent,Wins,Total Matches,Win Rate (%)
Jinx,Sion,8,18,44.44444444444444
Nasus,Lux,8,18,44.44444444444444
Yone,MissFortune,7,18,38.88888888888889
Teemo,Ashe,6,18,33.33333333333333
Jhin,Ezreal,6,18,33.33333333333333
Darius,Nautilus,12,17,70.58823529411765
Teemo,Caitlyn,11,17,64.70588235294117
Viego,Caitlyn,10,17,58.82352941176471
Nocturne,MissFortune,10,17,58.82352941176471
MissFortune,Thresh,10,17,58.82352941176471
Pantheon,Darius,10,17,58.82352941176471
Kayn,Jinx,9,17,52.94117647058824
Jinx,Akali,9,17,52.94117647058824
Caitlyn,Nocturne,9,17,52.94117647058824
MissFortune,Yasuo,9,17,52.94117647058824
Darius,Mel,9,17,52.94117647058824
Lux,Zyra,9,17,52.94117647058824
Nocturne,Caitlyn,8,17,47.05882352941176
Mel,Darius,8,17,47.05882352941176
Jinx,Kayn,8,17,47.05882352941176
Zyra,Lux,8,17,47.05882352941176
Akali,Jinx,8,17,47.05882352941176
Yasuo,MissFortune,8,17,47.05882352941176
Caitlyn,Viego,7,17,41.17647058823529
MissFortune,Nocturne,7,17,41.17647058823529
Darius,Pantheon,7,17,41.17647058823529
Thresh,MissFortune,7,17,41.17647058823529
Caitlyn,Teemo,6,17,35.294117647058826
Nautilus,Darius,5,17,29.411764705882355
Darius,Volibear,15,16,93.75
Jinx,Chogath,12,16,75.0
Ezreal,Ashe,12,16,75.0
Pantheon,Lux,11,16,68.75
Lux,Seraphine,11,16,68.75
Diana,MasterYi,10,16,62.5
Chogath,Caitlyn,10,16,62.5
Lux,Pyke,10,16,62.5
Darius,Yasuo,10,16,62.5
MasterYi,Jinx,10,16,62.5
Diana,Jinx,9,16,56.25
Warwick,Morgana,9,16,56.25
Kayn,Morgana,9,16,56.25
Darius,Nami,9,16,56.25
Kayn,Garen,9,16,56.25
Darius,Malzahar,9,16,56.25
Kayn,Caitlyn,9,16,56.25
MissFortune,Malphite,9,16,56.25
Caitlyn,Volibear,9,16,56.25
Jinx,Mordekaiser,8,16,50.0
Teemo,Yasuo,8,16,50.0
Mordekaiser,Jinx,8,16,50.0
Thresh,Caitlyn,8,16,50.0
Yasuo,Teemo,8,16,50.0
MissFortune,Ezreal,8,16,50.0
Lux,Malphite,8,16,50.0
Caitlyn,Thresh,8,16,50.0
Malphite,Lux,8,16,50.0
Ezreal,MissFortune,8,16,50.0
Jinx,Diana,7,16,43.75
Morgana,Warwick,7,16,43.75
Morgana,Kayn,7,16,43.75
Malzahar,Darius,7,16,43.75
Volibear,Caitlyn,7,16,43.75
Garen,Kayn,7,16,43.75
Malphite,MissFortune,7,16,43.75
Nami,Darius,7,16,43.75
Caitlyn,Kayn,7,16,43.75
Pyke,Lux,6,16,37.5
Caitlyn,Chogath,6,16,37.5
MasterYi,Diana,6,16,37.5
Jinx,MasterYi,6,16,37.5
Yasuo,Darius,6,16,37.5
Lux,Pantheon,5,16,31.25
Seraphine,Lux,5,16,31.25
Ashe,Ezreal,4,16,25.0
Chogath,Jinx,4,16,25.0
Volibear,Darius,1,16,6.25
Garen,Pantheon,12,15,80.0
MissFortune,Vayne,11,15,73.33333333333333
Lux,Ekko,10,15,66.66666666666666
MissFortune,Seraphine,10,15,66.66666666666666
Ashe,Amumu,10,15,66.66666666666666
Pantheon,Mel,10,15,66.66666666666666
Darius,MasterYi,10,15,66.66666666666666
Morgana,Jhin,10,15,66.66666666666666
Sett,Darius,10,15,66.66666666666666
Sett,Caitlyn,10,15,66.66666666666666
Ahri,MissFortune,10,15,66.66666666666666
Teemo,Jhin,10,15,66.66666666666666
Vayne,Caitlyn,9,15,60.0
MissFortune,Mel,9,15,60.0
Yasuo,Morgana,9,15,60.0
Darius,Ekko,9,15,60.0
Lux,Nautilus,9,15,60.0
Caitlyn,Mordekaiser,9,15,60.0
Kayle,Jinx,8,15,53.333333333333336
Caitlyn,Ahri,8,15,53.333333333333336
Malzahar,Mel,8,15,53.333333333333336
Teemo,MasterYi,8,15,53.333333333333336
Sylas,Lux,8,15,53.333333333333336
Thresh,Lux,8,15,53.333333333333336
MissFortune,Swain,8,15,53.333333333333336
Zyra,Nocturne,8,15,53.333333333333336
Kayn,Darius,8,15,53.333333333333336
Ahri,Caitlyn,7,15,46.666666666666664
Mel,Malzahar,7,15,46.666666666666664
MasterYi,Teemo,7,15,46.666666666666664
Darius,Kayn,7,15,46.666666666666664
Nocturne,Zyra,7,15,46.666666666666664
Jinx,Kayle,7,15,46.666666666666664
Lux,Thresh,7,15,46.666666666666664
Lux,Sylas,7,15,46.666666666666664
Swain,MissFortune,7,15,46.666666666666664
Morgana,Yasuo,6,15,40.0
Nautilus,Lux,6,15,40.0
Mordekaiser,Caitlyn,6,15,40.0
Ekko,Darius,6,15,40.0
Mel,MissFortune,6,15,40.0
Caitlyn,Vayne,6,15,40.0
Mel,Pantheon,5,15,33.33333333333333
Jhin,Morgana,5,15,33.33333333333333
Ekko,Lux,5,15,33.33333333333333
MissFortune,Ahri,5,15,33.33333333333333
Amumu,Ashe,5,15,33.33333333333333
Jhin,Teemo,5,15,33.33333333333333
Darius,Sett,5,15,33.33333333333333
MasterYi,Darius,5,15,33.33333333333333
Seraphine,MissFortune,5,15,33.33333333333333
Caitlyn,Sett,5,15,33.33333333333333
Vayne,MissFortune,4,15,26.666666666666668
Pantheon,Garen,3,15,20.0
Darius,Yone,12,14,85.71428571428571
Kayle,Caitlyn,12,14,85.71428571428571
Jhin,Volibear,11,14,78.57142857142857
Caitlyn,Swain,10,14,71.42857142857143
Darius,Morgana,10,14,71.42857142857143
Lux,Swain,10,14,71.42857142857143
Lux,Yone,9,14,64.28571428571429
Jhin,MasterYi,9,14,64.28571428571429
Lux,Akali,9,14,64.28571428571429
Darius,Chogath,9,14,64.28571428571429
Jinx,Ahri,9,14,64.28571428571429
Mel,Zyra,9,14,64.28571428571429
MissFortune,Nautilus,9,14,64.28571428571429
Darius,Ezreal,9,14,64.28571428571429
Caitlyn,Morgana,9,14,64.28571428571429
Amumu,Caitlyn,9,14,64.28571428571429
Swain,Teemo,8,14,57.14285714285714
Swain,Jinx,8,14,57.14285714285714
Lux,Vi,8,14,57.14285714285714
Jinx,Nunu,8,14,57.14285714285714
Brand,MissFortune,8,14,57.14285714285714
MasterYi,Caitlyn,8,14,57.14285714285714
Yasuo,Yorick,8,14,57.14285714285714
Diana,Darius,8,14,57.14285714285714
Ezreal,Garen,8,14,57.14285714285714
Mel,Ezreal,8,14,57.14285714285714
Caitlyn,Malphite,8,14,57.14285714285714
Kayn,Teemo,8,14,57.14285714285714
Jinx,Volibear,8,14,57.14285714285714
Darius,Vi,8,14,57.14285714285714
Jinx,Warwick,7,14,50.0
Garen,Yasuo,7,14,50.0
Tristana,Darius,7,14,50.0
Warwick,Jinx,7,14,50.0
Lux,Varus,7,14,50.0
Volibear,Lux,7,14,50.0
Yasuo,Garen,7,14,50.0
Amumu,MissFortune,7,14,50.0
Briar,Lux,7,14,50.0
Lux,Briar,7,14,50.0
Darius,Tristana,7,14,50.0
Lux,Volibear,7,14,50.0
MissFortune,Amumu,7,14,50.0
Varus,Lux,7,14,50.0
Yorick,MissFortune,7,14,50.0
MissFortune,Yorick,7,14,50.0
Yorick,Yasuo,6,14,42.857142857142854
Ezreal,Mel,6,14,42.857142857142854
Teemo,Kayn,6,14,42.857142857142854
Jinx,Swain,6,14,42.857142857142854
Nunu,Jinx,6,14,42.857142857142854
Teemo,Swain,6,14,42.857142857142854
Malphite,Caitlyn,6,14,42.857142857142854
Garen,Ezreal,6,14,42.857142857142854
Vi,Lux,6,14,42.857142857142854
Darius,Diana,6,14,42.857142857142854
MissFortune,Brand,6,14,42.857142857142854
Volibear,Jinx,6,14,42.857142857142854
Vi,Darius,6,14,42.857142857142854
Caitlyn,MasterYi,6,14,42.857142857142854
Morgana,Caitlyn,5,14,35.714285714285715
Chogath,Darius,5,14,35.714285714285715
Caitlyn,Amumu,5,14,35.714285714285715
Yone,Lux,5,14,35.714285714285715
Ahri,Jinx,5,14,35.714285714285715
Nautilus,MissFortune,5,14,35.714285714285715
Akali,Lux,5,14,35.714285714285715
Ezreal,Darius,5,14,35.714285714285715
MasterYi,Jhin,5,14,35.714285714285715
Zyra,Mel,5,14,35.714285714285715
Swain,Caitlyn,4,14,28.57142857142857
Morgana,Darius,4,14,28.57142857142857
Swain,Lux,4,14,28.57142857142857
Volibear,Jhin,3,14,21.428571428571427
Yone,Darius,2,14,14.285714285714285
Caitlyn,Kayle,2,14,14.285714285714285
Darius,Seraphine,11,13,84.61538461538461
Shaco,Caitlyn,10,13,76.92307692307693
Mel,Yone,10,13,76.92307692307693
Malphite,Teemo,9,13,69.23076923076923
Mel,Tristana,9,13,69.23076923076923
Jinx,Pantheon,9,13,69.23076923076923
Shen,MissFortune,9,13,69.23076923076923
Sylas,Yone,9,13,69.23076923076923
Teemo,Vayne,9,13,69.23076923076923
Darius,Mordekaiser,9,13,69.23076923076923
Brand,Caitlyn,9,13,69.23076923076923
Ahri,Darius,9,13,69.23076923076923
Caitlyn,Briar,9,13,69.23076923076923
Amumu,Teemo,8,13,61.53846153846154
Mel,Morgana,8,13,61.53846153846154
Pyke,Jinx,8,13,61.53846153846154
Yasuo,Jhin,8,13,61.53846153846154
Warwick,TahmKench,8,13,61.53846153846154
Jinx,Briar,8,13,61.53846153846154
Garen,Chogath,8,13,61.53846153846154
Teemo,Viego,8,13,61.53846153846154
Jhin,Nautilus,8,13,61.53846153846154
Ezreal,Kaisa,8,13,61.53846153846154
Jhin,Warwick,8,13,61.53846153846154
Garen,Jhin,8,13,61.53846153846154
Veigar,Ashe,8,13,61.53846153846154
Ashe,Seraphine,8,13,61.53846153846154
