NA1_5255226708,Invalid,98F6KSZr3ePUMspZtG96xnff2B1Nt9K5obmLNmDJ-_StomHCgjK4mXEpTk-BG7oIu3HoUXiQ7QKMEQ,Belveth,8000,"[8005, 9111, 9104, 8014]",8100,"[8139, 8135]","{""defense"": 5001, ""flex"": 5008, ""offense"": 5005}","{""item0"": 3084, ""item1"": 3748, ""item2"": 3153, ""item3"": 3078, ""item4"": 3111, ""item5"": 3091}","{""summoner1Id"": 6, ""summoner2Id"": 4}",[],True
NA1_5255226708,Invalid,w7h2sY1tVxlYBQfMDnF-iwgxbQH9vXB_VvlIr58-cFz-VHZynayOHZeS8Hti72hgJwYeAg1EmoXc_g,Teemo,8100,"[8128, 8126, 8140, 8106]",8200,"[8237, 8210]","{""defense"": 5001, ""flex"": 5008, ""offense"": 5008}","{""item0"": 4645, ""item1"": 3020, ""item2"": 3118, ""item3"": 3165, ""item4"": 6653, ""item5"": 3135}","{""summoner1Id"": 4, ""summoner2Id"": 14}",[],True
NA1_5255226708,Invalid,bF-sVEAXJH1bnBK9TgRNJ6nF79wldyh5ADY46gHNdAJiA7phZCj-2ZuI_P1uOZWWMibz3PwWwvNjDA,Heimerdinger,8100,"[8128, 8126, 8140, 8106]",8000,"[8014, 8009]","{""defense"": 5001, ""flex"": 5008, ""offense"": 5008}","{""item0"": 6653, ""item1"": 3118, ""item2"": 3020, ""item3"": 2503, ""item4"": 3116, ""item5"": 3165}","{""summoner1Id"": 4, ""summoner2Id"": 7}",[],True
NA1_5255226708,Invalid,DPLLIXbx3VCaO1DITVa4Y4GUhvy0b06FAgV9uYUILkqeTARKrc5P6XNM8Gqu8rpOMSDwBRWmwAtARQ,Nocturne,8100,"[9923, 8143, 8140, 8106]",8000,"[8014, 9111]","{""defense"": 5001, ""flex"": 5008, ""offense"": 5005}","{""item0"": 6676, ""item1"": 3111, ""item2"": 6696, ""item3"": 3042, ""item4"": 6694, ""item5"": 3814}","{""summoner1Id"": 4, ""summoner2Id"": 32}",[],True
NA1_5255226708,Invalid,mDExrBFZgviCJbsh_o8-Q7al1fdE0qhlNmddTkK_iP6MjT-epRHhUCcAJfh9ck-1UNnnoKJLM-ndjw,Ziggs,8100,"[8128, 8126, 8140, 8106]",8000,"[8014, 8009]","{""defense"": 5001, ""flex"": 5008, ""offense"": 5008}","{""item0"": 6653, ""item1"": 3040, ""item2"": 6655, ""item3"": 3020, ""item4"": 4645, ""item5"": 3802}","{""summoner1Id"": 4, ""summoner2Id"": 21}",[],True
NA1_5255225112,Invalid,odz9XAHn84A8rQ7NjrumInqNz1BIuyagh9PIcR0bbgGqNWwcVQtNHiOh74PSYChhic6xviE-umPkdQ,Teemo,8100,"[8128, 8126, 8140, 8106]",8200,"[8237, 8210]","{""defense"": 5001, ""flex"": 5008, ""offense"": 5008}","{""item0"": 3118, ""item1"": 1026, ""item2"": 3020, ""item3"": 4645, ""item4"": 4646, ""item5"": 4630}","{""summoner1Id"": 4, ""summoner2Id"": 14}",[],True
NA1_5255225112,Invalid,KrHOxf8Q33yqGlUSjoDF6_H0pDxyiewSCGWgKbYpdx16gisHQptbu6fF75utqS2fvcZqkNgkDMoS0w,Zilean,8200,"[8229, 8226, 8210, 8237]",8000,"[8014, 8009]","{""defense"": 5001, ""flex"": 5008, ""offense"": 5008}","{""item0"": 3040, ""item1"": 1001, ""item2"": 2031, ""item3"": 4629, ""item4"": 6653, ""item5"": 0}","{""summoner1Id"": 4, ""summoner2Id"": 6}",[],True
NA1_5255225112,Invalid,MUacTl0G0yt4xAaenx9JLL2gYEXjkdy9yhHN8rd9imBmdmsR1O85G2BZ2GnVyFb7stngkayoQsm5LA,Maokai,8400,"[8437, 8463, 8429, 8451]",8000,"[9105, 9111]","{""defense"": 5001, ""flex"": 5001, ""offense"": 5007}","{""item0"": 3084, ""item1"": 3121, ""item2"": 3111, ""item3"": 6653, ""item4"": 3118, ""item5"": 1052}","{""summoner1Id"": 4, ""summoner2Id"": 32}",[],True
NA1_5255225112,Invalid,xDdvlt4lmrMLYk0uIxJG3E3ePAR91_pgAAyOrzjRsQGd2d0K1eYXNGwStZH4bEjxSSkvuK101q77wA,Xayah,8000,"[8008, 8009, 9103, 8014]",8100,"[8139, 8135]","{""defense"": 5001, ""flex"": 5008, ""offense"": 5005}","{""item0"": 3032, ""item1"": 3006, ""item2"": 3031, ""item3"": 3033, ""item4"": 1053, ""item5"": 1042}","{""summoner1Id"": 4, ""summoner2Id"": 6}",[],True
NA1_5255225112,Invalid,uQHu4OF6HVGZyau8yj_cooIEOaUL2lyIN0uIQHroT62vj49UiybkXXJaRfn416xMCxIM4Teu15EC7Q,Talon,8000,"[8010, 9111, 9105, 8299]",8100,"[8139, 8135]","{""defense"": 5001, ""flex"": 5008, ""offense"": 5008}","{""item0"": 126697, ""item1"": 3158, ""item2"": 6696, ""item3"": 6692, ""item4"": 6610, ""item5"": 6694}","{""summoner1Id"": 4, ""summoner2Id"": 32}",[],True
