match_id,lane,winner_puuid,winner_champion,loser_puuid,loser_champion,winner_primary_style,winner_primary_selections,winner_sub_style,winner_sub_selections,winner_stat_perks,winner_items,winner_summoner_spells,loser_primary_style,loser_primary_selections,loser_sub_style,loser_sub_selections,loser_stat_perks,loser_items,loser_summoner_spells,winner_bans,loser_bans
NA1_5245739771,MIDDLE,rIc3oiRN7ps77X4WvouAJLlAlUUnlqgjAQlmezggNrELbwGnC5UOAXDQGy9Z9by926idTVSJcpL61A,Nasus,6x_4Mfi6H6L92xA43MMnxVGFrJx8O4hH71Lp9syM9jBmgd7WE2_FguVv9yMVw3nvQVFcEsYL_nUjTw,Gangplank,8200,"[8230, 8275, 8210, 8236]",8400,"[8444, 8451]","{'defense': 5013, 'flex': 5008, 'offense': 5005}","{'item0': 3742, 'item1': 3174, 'item2': 3078, 'item3': 3076, 'item4': 3082, 'item5': 0}","{'summoner1Id': 6, 'summoner2Id': 4}",8300,"[8369, 8321, 8345, 8347]",8000,"[9101, 9105]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 3031, 'item1': 6676, 'item2': 3013, 'item3': 3036, 'item4': 3057, 'item5': 3044}","{'summoner1Id': 3, 'summoner2Id': 4}","[90, 119, 17, 800, 122]","[555, 35, 25, 19, 68]"
NA1_5245739771,JUNGLE,BpdEsz2E7g7DWrgKCRIei4dDSgHendZFMShIDZ91gOzaIukgkwybkYzdcGfAubJaT-_6dqpDtpfd7g,Nunu,XBDDj_YR-Neh9BltWEoUnQcqZ8y8XJGxvfws6TaNT598D0kJAldIYlVDuOgFV5dbRRmdjpjQY3_-QQ,Jax,8200,"[8230, 8275, 8234, 8232]",8000,"[9105, 9111]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 3075, 'item1': 6653, 'item2': 3170, 'item3': 3742, 'item4': 3145, 'item5': 1028}","{'summoner1Id': 4, 'summoner2Id': 11}",8000,"[8008, 9111, 9104, 8299]",8300,"[8347, 8304]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 3153, 'item1': 3078, 'item2': 3111, 'item3': 3074, 'item4': 3133, 'item5': 2021}","{'summoner1Id': 11, 'summoner2Id': 4}","[90, 119, 17, 800, 122]","[555, 35, 25, 19, 68]"
NA1_5245739771,BOTTOM,FoZjMx0xTrxHQ6tg-l19hvo0LVpPQGqyNYfPRR3oCyNgO0SGSqCHj95tN6VFuJcCYiY4jUPdidle-A,Caitlyn,QBzzNAemeZgLBRu4_EihiMh1ArDOgCuS4GJmWTno1geEOGM29poE4mWRxtgDEV0WsZ4wcqWnQO7QgQ,Ezreal,8000,"[8008, 8009, 9103, 8014]",8200,"[8233, 8236]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 1055, 'item1': 3094, 'item2': 3172, 'item3': 3032, 'item4': 3031, 'item5': 3036}","{'summoner1Id': 4, 'summoner2Id': 21}",8000,"[8010, 8009, 9103, 8014]",8300,"[8345, 8304]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 3078, 'item1': 3033, 'item2': 3042, 'item3': 1029, 'item4': 0, 'item5': 2422}","{'summoner1Id': 21, 'summoner2Id': 4}","[90, 119, 17, 800, 122]","[555, 35, 25, 19, 68]"
NA1_5245739771,UTILITY,O6Ai7opjbEdPaMF7o8bR-bz0YI02S7eoFSnQKlrnjMwW7fHAn0pe4J3Zp7Xqogahx82O4skd73g5Zw,Annie,iwYcRmDcLx2t1mQP8eB-Rjq4Pe1gqNSysZjHCZlAPuhSrvE0MFiLkJLF0aO-DyXguEjoma26HbJRUQ,Karma,8100,"[8128, 8126, 8140, 8105]",8200,"[8233, 8237]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 3871, 'item1': 3118, 'item2': 3020, 'item3': 6653, 'item4': 0, 'item5': 0}","{'summoner1Id': 4, 'summoner2Id': 14}",8200,"[8214, 8226, 8210, 8236]",8400,"[8463, 8453]","{'defense': 5011, 'flex': 5008, 'offense': 5007}","{'item0': 2055, 'item1': 6617, 'item2': 3870, 'item3': 3158, 'item4': 3118, 'item5': 2022}","{'summoner1Id': 12, 'summoner2Id': 4}","[90, 119, 17, 800, 122]","[555, 35, 25, 19, 68]"
NA1_5245684118,TOP,fMa4CWGZZhoaJguc7rntKGv3VldqkBXvdT93hrGrXc8xY2dGR0uHylF4iVkapRIRcyH-_z4JXuNlxg,MonkeyKing,C-_HvMJVm_lMQInKRhG2fCvpuEVogajKD4XJYpquyqyr7lj6_WIP6xIA8cKvyCZUzP6194mVu346GA,Darius,8000,"[8010, 9111, 9104, 8299]",8100,"[8143, 8135]","{'defense': 5011, 'flex': 5008, 'offense': 5008}","{'item0': 3078, 'item1': 6692, 'item2': 3071, 'item3': 3047, 'item4': 0, 'item5': 0}","{'summoner1Id': 4, 'summoner2Id': 12}",8000,"[8010, 9111, 9105, 8299]",8400,"[8473, 8242]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 1055, 'item1': 6631, 'item2': 3047, 'item3': 3742, 'item4': 1033, 'item5': 0}","{'summoner1Id': 6, 'summoner2Id': 4}","[29, 233, 33, 35, 82]","[555, 133, 31, 36, 800]"
NA1_5245684118,MIDDLE,fGvloJtTRwUXbxdNddSHFgSkVAVhs5YKcI1H_QjlVsiGSGeZXsZITj9RxfAnZJS2IgHKeCARMxD0Sw,Zed,5JmAN_1qolijsJedcR0_HW289Ibb-N5X43O4cTAuDLWZh4Cl7-OnfMtl3KPky7S0EhuzNYi7oIDijw,Sylas,8100,"[8112, 8139, 8140, 8106]",8200,"[8237, 8210]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 1054, 'item1': 6698, 'item2': 3111, 'item3': 3156, 'item4': 6694, 'item5': 0}","{'summoner1Id': 4, 'summoner2Id': 14}",8000,"[8010, 8009, 9105, 8299]",8400,"[8444, 8242]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 3152, 'item1': 4645, 'item2': 3020, 'item3': 1058, 'item4': 0, 'item5': 0}","{'summoner1Id': 4, 'summoner2Id': 12}","[29, 233, 33, 35, 82]","[555, 133, 31, 36, 800]"
NA1_5245684118,JUNGLE,SsiQRuFhVMIVkDAN1dyROgNvFgbWtFlEK3U1q0b7X9dbhLA_2p2171KbD1R4U8RSd3jog7PYpW3l3Q,XinZhao,HnhnlBucyPi73BxFwfIKcxa03EaZl9RFmX6L1U4fYSHbPUH5yQXMVSd29Qqut_jqDEEDMccLgOOWcg,Warwick,8000,"[8008, 9101, 9104, 8299]",8100,"[8139, 8135]","{'defense': 5001, 'flex': 5010, 'offense': 5005}","{'item0': 4633, 'item1': 3006, 'item2': 3124, 'item3': 1058, 'item4': 1058, 'item5': 0}","{'summoner1Id': 4, 'summoner2Id': 11}",8000,"[8005, 9111, 9104, 8299]",8200,"[8234, 8232]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 3074, 'item1': 3153, 'item2': 3111, 'item3': 3075, 'item4': 1031, 'item5': 1033}","{'summoner1Id': 11, 'summoner2Id': 4}","[29, 233, 33, 35, 82]","[555, 133, 31, 36, 800]"
NA1_5245684118,BOTTOM,Kzms8rcsIMctTfr_KHhhJWVMeUO_TMIAe97imeoz7LcJ_cFALvo_EbnTR3jvcPq7Ke2czZYM0_ADag,Ziggs,1lApDMo7iiISxiqZHc_g-OzZ9U1A0s4b-GGEpD4s5NNcM7HIf7fBE5bDj-Qwz44lCIJt4Rw1mNmn8A,Jinx,8200,"[8229, 8226, 8210, 8237]",8000,"[8014, 8009]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 3067, 'item1': 4645, 'item2': 2503, 'item3': 3175, 'item4': 3916, 'item5': 1026}","{'summoner1Id': 12, 'summoner2Id': 4}",8000,"[8008, 8009, 9103, 8014]",8200,"[8233, 8236]","{'defense': 5011, 'flex': 5008, 'offense': 5005}","{'item0': 3031, 'item1': 3006, 'item2': 3032, 'item3': 0, 'item4': 0, 'item5': 0}","{'summoner1Id': 21, 'summoner2Id': 4}","[29, 233, 33, 35, 82]","[555, 133, 31, 36, 800]"
NA1_5245684118,UTILITY,CyZGk7D0z-ijCN_fW5aHzB5gEhrlg_nLeJjwEtjYWDZcuQDEoyeyuLe5CrKwptFqmpF3_euHTBviVw,Velkoz,j2FLGoZMkNlK98Yl193e_HpSlfhSX6h-ZxHzCFjW9ePgKDxEVo2ZFrJ9faFjKAIhMm0O0zM7kpc_3w,Nami,8200,"[8229, 8226, 8210, 8237]",8100,"[8126, 8106]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 3871, 'item1': 1058, 'item2': 2503, 'item3': 3175, 'item4': 3040, 'item5': 0}","{'summoner1Id': 4, 'summoner2Id': 7}",8200,"[8214, 8226, 8210, 8237]",8400,"[8473, 8453]","{'defense': 5001, 'flex': 5008, 'offense': 5007}","{'item0': 4005, 'item1': 3870, 'item2': 3158, 'item3': 3067, 'item4': 4642, 'item5': 0}","{'summoner1Id': 7, 'summoner2Id': 4}","[29, 233, 33, 35, 82]","[555, 133, 31, 36, 800]"
NA1_5245523722,TOP,ODfQhYXS2Pmh0LYUf-8_8XXJVm4_yh6v06elapRxRJxb5NfKM9h7lmoWjaErjca2_JWnWMLtiMXSjQ,Aatrox,APuqf7THsPsrDPpB3rM4xyFvKafDrKTndKP4srQ5VIfusugZnnyDJuFRtCAX912FfgyNmhfeQsyQOg,Vladimir,8000,"[8010, 9111, 9105, 8014]",8100,"[8139, 8106]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 1054, 'item1': 3171, 'item2': 3084, 'item3': 2501, 'item4': 2021, 'item5': 2055}","{'summoner1Id': 4, 'summoner2Id': 12}",8200,"[8214, 8275, 8210, 8237]",8000,"[8299, 9105]","{'defense': 5011, 'flex': 5008, 'offense': 5007}","{'item0': 1056, 'item1': 4633, 'item2': 1058, 'item3': 1001, 'item4': 0, 'item5': 0}","{'summoner1Id': 4, 'summoner2Id': 12}","[17, 45, 51, 13, 122]","[111, 122, 238, 11, 67]"
NA1_5245523722,MIDDLE,6EHgb4G2lDMs9HI59XcNTGS_azeuQ00Yl0SF0xCsQX_aw59O1swVCIMC2FFLiSU5UyorjaBCWI9kLA,Akali,2uk8d9PoxcFXhy64e-INRTLE6yvAgjSGeywdsnYQbDhyjxRlfZ3UFPTMzALnnedBybI80b2i7W7S-Q,Katarina,8000,"[8010, 8009, 9105, 8014]",8400,"[8451, 8444]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 4646, 'item1': 3067, 'item2': 3020, 'item3': 2022, 'item4': 1056, 'item5': 4630}","{'summoner1Id': 4, 'summoner2Id': 12}",8100,"[8128, 8143, 8140, 8105]",8000,"[9105, 8017]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 1054, 'item1': 3153, 'item2': 3091, 'item3': 1036, 'item4': 1036, 'item5': 1001}","{'summoner1Id': 4, 'summoner2Id': 14}","[17, 45, 51, 13, 122]","[111, 122, 238, 11, 67]"
NA1_5245523722,JUNGLE,CZ5qFeiuAgN0spr83JtZ5tXBfI_7MApy89KX14X2gVZE1f8UpU6-k7HDMwagPv5W-zYEek_BFy--6g,Warwick,cvncUnp2PNlIEJ9oHWHGwMDIxxDbWU94HEkeD2DiqLcneZGyImCdO2hsG_FnOQjNAsFDx-EUfvHpKw,Lillia,8000,"[8005, 9111, 9104, 8299]",8200,"[8234, 8232]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 3153, 'item1': 3174, 'item2': 6631, 'item3': 0, 'item4': 0, 'item5': 0}","{'summoner1Id': 11, 'summoner2Id': 4}",8000,"[8010, 9111, 9105, 8014]",8200,"[8234, 8232]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 3157, 'item1': 3158, 'item2': 0, 'item3': 1082, 'item4': 6653, 'item5': 0}","{'summoner1Id': 4, 'summoner2Id': 11}","[17, 45, 51, 13, 122]","[111, 122, 238, 11, 67]"
