Champion,Opponent,Wins,Total Matches,Win Rate (%)
Viego,Darius,6,14,42.857142857142854
Teemo,Ashe,6,14,42.857142857142854
Jinx,Sion,5,14,35.714285714285715
Ashe,Lux,5,14,35.714285714285715
Garen,Ashe,5,14,35.714285714285715
Teemo,Jinx,5,14,35.714285714285715
Mel,MissFortune,5,14,35.714285714285715
Akali,Lux,5,14,35.714285714285715
Ashe,Ezreal,4,14,28.57142857142857
Seraphine,Lux,4,14,28.57142857142857
Volibear,Darius,1,14,7.142857142857142
Darius,Seraphine,11,13,84.61538461538461
Warwick,Caitlyn,10,13,76.92307692307693
Jinx,Chogath,10,13,76.92307692307693
Jinx,Pantheon,9,13,69.23076923076923
MissFortune,Seraphine,9,13,69.23076923076923
Jinx,Morgana,9,13,69.23076923076923
Lux,Mordekaiser,9,13,69.23076923076923
MissFortune,Yone,9,13,69.23076923076923
Warwick,Morgana,8,13,61.53846153846154
Sett,Darius,8,13,61.53846153846154
Nocturne,Jinx,8,13,61.53846153846154
Darius,Malzahar,8,13,61.53846153846154
Yasuo,Teemo,8,13,61.53846153846154
Ezreal,Jinx,8,13,61.53846153846154
Jinx,Nami,7,13,53.84615384615385
Malzahar,Mel,7,13,53.84615384615385
Lux,Volibear,7,13,53.84615384615385
Lux,Malphite,7,13,53.84615384615385
Caitlyn,Thresh,7,13,53.84615384615385
Lux,Sylas,7,13,53.84615384615385
Lux,Nautilus,7,13,53.84615384615385
Lux,Zyra,7,13,53.84615384615385
Varus,Garen,7,13,53.84615384615385
Mel,Malzahar,6,13,46.15384615384615
Garen,Varus,6,13,46.15384615384615
Volibear,Lux,6,13,46.15384615384615
Nautilus,Lux,6,13,46.15384615384615
Zyra,Lux,6,13,46.15384615384615
Thresh,Caitlyn,6,13,46.15384615384615
Sylas,Lux,6,13,46.15384615384615
Nami,Jinx,6,13,46.15384615384615
Malphite,Lux,6,13,46.15384615384615
Jinx,Ezreal,5,13,38.46153846153847
Jinx,Nocturne,5,13,38.46153846153847
Teemo,Yasuo,5,13,38.46153846153847
Malzahar,Darius,5,13,38.46153846153847
Darius,Sett,5,13,38.46153846153847
Morgana,Warwick,5,13,38.46153846153847
Pantheon,Jinx,4,13,30.76923076923077
Mordekaiser,Lux,4,13,30.76923076923077
Seraphine,MissFortune,4,13,30.76923076923077
Yone,MissFortune,4,13,30.76923076923077
Morgana,Jinx,4,13,30.76923076923077
Chogath,Jinx,3,13,23.076923076923077
Caitlyn,Warwick,3,13,23.076923076923077
Seraphine,Darius,2,13,15.384615384615385
Garen,Pantheon,9,12,75.0
MissFortune,Vayne,9,12,75.0
Darius,Morgana,9,12,75.0
Viego,Caitlyn,8,12,66.66666666666666
Jhin,MasterYi,8,12,66.66666666666666
Jinx,Tristana,8,12,66.66666666666666
Shen,MissFortune,8,12,66.66666666666666
Darius,Nami,8,12,66.66666666666666
Darius,Chogath,8,12,66.66666666666666
Kayn,Garen,8,12,66.66666666666666
Lux,Pyke,8,12,66.66666666666666
Darius,Yasuo,8,12,66.66666666666666
Lux,Ekko,8,12,66.66666666666666
Lux,Swain,8,12,66.66666666666666
Jinx,Briar,7,12,58.333333333333336
Darius,Kayn,7,12,58.333333333333336
Thresh,Lux,7,12,58.333333333333336
Morgana,Jhin,7,12,58.333333333333336
Caitlyn,Malphite,7,12,58.333333333333336
MissFortune,Chogath,7,12,58.333333333333336
MasterYi,Lux,7,12,58.333333333333336
Yasuo,MissFortune,7,12,58.333333333333336
MissFortune,Malphite,7,12,58.333333333333336
Vayne,Caitlyn,6,12,50.0
Garen,Yasuo,6,12,50.0
Yasuo,Garen,6,12,50.0
Caitlyn,Vayne,6,12,50.0
Jhin,Morgana,5,12,41.66666666666667
Chogath,MissFortune,5,12,41.66666666666667
MissFortune,Yasuo,5,12,41.66666666666667
Briar,Jinx,5,12,41.66666666666667
Lux,MasterYi,5,12,41.66666666666667
Lux,Thresh,5,12,41.66666666666667
Malphite,Caitlyn,5,12,41.66666666666667
Malphite,MissFortune,5,12,41.66666666666667
Kayn,Darius,5,12,41.66666666666667
Caitlyn,Viego,4,12,33.33333333333333
Ekko,Lux,4,12,33.33333333333333
Chogath,Darius,4,12,33.33333333333333
Pyke,Lux,4,12,33.33333333333333
Tristana,Jinx,4,12,33.33333333333333
MissFortune,Shen,4,12,33.33333333333333
MasterYi,Jhin,4,12,33.33333333333333
Yasuo,Darius,4,12,33.33333333333333
Swain,Lux,4,12,33.33333333333333
Nami,Darius,4,12,33.33333333333333
Garen,Kayn,4,12,33.33333333333333
Morgana,Darius,3,12,25.0
Pantheon,Garen,3,12,25.0
Vayne,MissFortune,3,12,25.0
Darius,MasterYi,9,11,81.81818181818183
Jhin,Volibear,9,11,81.81818181818183
Ezreal,Viego,8,11,72.72727272727273
Pantheon,Lux,8,11,72.72727272727273
Caitlyn,Swain,8,11,72.72727272727273
Darius,Mordekaiser,8,11,72.72727272727273
Yasuo,Jhin,7,11,63.63636363636363
Jinx,Kaisa,7,11,63.63636363636363
Jinx,Jax,7,11,63.63636363636363
Lux,Mel,7,11,63.63636363636363
Pantheon,Caitlyn,7,11,63.63636363636363
Malphite,Jhin,7,11,63.63636363636363
Warwick,Tristana,7,11,63.63636363636363
Caitlyn,Leona,7,11,63.63636363636363
Nautilus,Garen,7,11,63.63636363636363
Yasuo,Yorick,7,11,63.63636363636363
Ashe,Amumu,7,11,63.63636363636363
Veigar,Ashe,7,11,63.63636363636363
Yasuo,Morgana,7,11,63.63636363636363
Teemo,Caitlyn,7,11,63.63636363636363
Caitlyn,Briar,7,11,63.63636363636363
Darius,Vi,7,11,63.63636363636363
MasterYi,Ashe,7,11,63.63636363636363
Ahri,MissFortune,7,11,63.63636363636363
Neeko,Lux,6,11,54.54545454545454
Swain,Jhin,6,11,54.54545454545454
DrMundo,Jhin,6,11,54.54545454545454
Garen,Mel,6,11,54.54545454545454
Garen,Chogath,6,11,54.54545454545454
Lux,Varus,6,11,54.54545454545454
Jinx,Nunu,6,11,54.54545454545454
Jinx,Akali,6,11,54.54545454545454
Brand,MissFortune,6,11,54.54545454545454
Tristana,Darius,6,11,54.54545454545454
Jhin,Warwick,6,11,54.54545454545454
Garen,Jhin,6,11,54.54545454545454
Lux,Jax,6,11,54.54545454545454
MissFortune,Amumu,6,11,54.54545454545454
MissFortune,Viktor,6,11,54.54545454545454
Lux,Twitch,6,11,54.54545454545454
Ahri,Caitlyn,6,11,54.54545454545454
Sett,Caitlyn,6,11,54.54545454545454
Yasuo,Veigar,6,11,54.54545454545454
Twitch,Lux,5,11,45.45454545454545
Caitlyn,Ahri,5,11,45.45454545454545
Jhin,Garen,5,11,45.45454545454545
Chogath,Garen,5,11,45.45454545454545
Amumu,MissFortune,5,11,45.45454545454545
Veigar,Yasuo,5,11,45.45454545454545
Nunu,Jinx,5,11,45.45454545454545
Lux,Neeko,5,11,45.45454545454545
Akali,Jinx,5,11,45.45454545454545
Warwick,Jhin,5,11,45.45454545454545
Darius,Tristana,5,11,45.45454545454545
Jax,Lux,5,11,45.45454545454545
MissFortune,Brand,5,11,45.45454545454545
Viktor,MissFortune,5,11,45.45454545454545
Varus,Lux,5,11,45.45454545454545
Jhin,DrMundo,5,11,45.45454545454545
Caitlyn,Sett,5,11,45.45454545454545
Jhin,Swain,5,11,45.45454545454545
Mel,Garen,5,11,45.45454545454545
Kaisa,Jinx,4,11,36.36363636363637
Yorick,Yasuo,4,11,36.36363636363637
Garen,Nautilus,4,11,36.36363636363637
Jhin,Yasuo,4,11,36.36363636363637
Morgana,Yasuo,4,11,36.36363636363637
Mel,Lux,4,11,36.36363636363637
Tristana,Warwick,4,11,36.36363636363637
MissFortune,Ahri,4,11,36.36363636363637
Amumu,Ashe,4,11,36.36363636363637
Caitlyn,Pantheon,4,11,36.36363636363637
Jhin,Malphite,4,11,36.36363636363637
Ashe,Veigar,4,11,36.36363636363637
Caitlyn,Teemo,4,11,36.36363636363637
Jax,Jinx,4,11,36.36363636363637
Briar,Caitlyn,4,11,36.36363636363637
Vi,Darius,4,11,36.36363636363637
Ashe,MasterYi,4,11,36.36363636363637
Leona,Caitlyn,4,11,36.36363636363637
Viego,Ezreal,3,11,27.27272727272727
Swain,Caitlyn,3,11,27.27272727272727
Mordekaiser,Darius,3,11,27.27272727272727
Lux,Pantheon,3,11,27.27272727272727
MasterYi,Darius,2,11,18.181818181818183
Volibear,Jhin,2,11,18.181818181818183
Darius,Yone,9,10,90.0
Caitlyn,Morgana,9,10,90.0
