antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Nilah'}),frozenset({'Pyke'}),0.02318840579710145,0.03768115942028986,0.011594202898550725,0.5,13.269230769230768,1.0,0.010720436883007771,1.9246376811594204,0.9465875370919882,0.23529411764705882,0.48042168674698793,0.40384615384615385
frozenset({'Pyke'}),frozenset({'Nilah'}),0.03768115942028986,0.02318840579710145,0.011594202898550725,0.30769230769230765,13.269230769230768,1.0,0.010720436883007771,1.410950080515298,0.9608433734939759,0.23529411764705882,0.29125770372061166,0.40384615384615385
frozenset({'Lulu'}),frozenset({'Yone'}),0.030434782608695653,0.0391304347826087,0.007246376811594203,0.23809523809523808,6.084656084656084,1.0,0.006055450535601765,1.2611413043478261,0.8618834080717489,0.11627906976744186,0.20706744236156,0.21164021164021163
frozenset({'Yone'}),frozenset({'Lulu'}),0.0391304347826087,0.030434782608695653,0.007246376811594203,0.18518518518518517,6.084656084656084,1.0,0.006055450535601765,1.1899209486166007,0.869683257918552,0.11627906976744186,0.15960803853180536,0.21164021164021163
frozenset({'Kindred'}),frozenset({'Mel'}),0.014492753623188406,0.06811594202898551,0.005797101449275362,0.4,5.872340425531915,1.0,0.004809913883637891,1.5531400966183575,0.8419117647058822,0.07547169811320756,0.35614307931570766,0.24255319148936172
frozenset({'Soraka'}),frozenset({'Sett'}),0.021739130434782608,0.0463768115942029,0.005797101449275362,0.26666666666666666,5.75,1.0,0.004788909892879647,1.3003952569169959,0.8444444444444443,0.0930232558139535,0.23100303951367782,0.19583333333333333
frozenset({'Sett'}),frozenset({'Soraka'}),0.0463768115942029,0.021739130434782608,0.005797101449275362,0.125,5.75,1.0,0.004788909892879647,1.1180124223602486,0.8662613981762918,0.0930232558139535,0.10555555555555556,0.19583333333333333
frozenset({'Zilean'}),frozenset({'Caitlyn'}),0.010144927536231883,0.10289855072463767,0.005797101449275362,0.5714285714285715,5.5533199195171035,1.0,0.004753203108590632,2.0932367149758457,0.8283308931185943,0.054054054054054064,0.5222709439187632,0.3138832997987928
frozenset({'Draven'}),frozenset({'Thresh'}),0.02318840579710145,0.0463768115942029,0.005797101449275362,0.25,5.390625,1.0,0.004721697122453267,1.2714975845410628,0.8338278931750743,0.09090909090909091,0.2135258358662614,0.1875
frozenset({'Thresh'}),frozenset({'Draven'}),0.0463768115942029,0.02318840579710145,0.005797101449275362,0.125,5.390625,1.0,0.004721697122453267,1.1163561076604556,0.8541033434650457,0.09090909090909091,0.10422848664688428,0.1875
frozenset({'Rammus'}),frozenset({'Yasuo'}),0.017391304347826087,0.0782608695652174,0.007246376811594203,0.4166666666666667,5.3240740740740735,1.0,0.005885318210459988,1.5801242236024846,0.8265486725663717,0.0819672131147541,0.3671383647798742,0.25462962962962965
frozenset({'Akshan'}),frozenset({'TahmKench'}),0.02753623188405797,0.04057971014492753,0.005797101449275362,0.2105263157894737,5.187969924812031,1.0,0.004679689140936779,1.2152657004830918,0.8301043219076006,0.0930232558139535,0.17713467959930038,0.1766917293233083
frozenset({'TahmKench'}),frozenset({'Akshan'}),0.04057971014492753,0.02753623188405797,0.005797101449275362,0.14285714285714288,5.187969924812031,1.0,0.004679689140936779,1.1345410628019323,0.8413897280966768,0.0930232558139535,0.11858633170108582,0.1766917293233083
frozenset({'Aatrox'}),frozenset({'Warwick'}),0.021739130434782608,0.06811594202898551,0.007246376811594203,0.33333333333333337,4.893617021276596,1.0,0.005765595463137997,1.3978260869565218,0.8133333333333335,0.08771929824561404,0.2846034214618974,0.2198581560283688
frozenset({'Warwick'}),frozenset({'Aatrox'}),0.06811594202898551,0.021739130434782608,0.007246376811594203,0.10638297872340426,4.8936170212765955,1.0,0.005765595463137997,1.09472049689441,0.8538102643856922,0.08771929824561404,0.08652482269503546,0.2198581560283688
frozenset({'Ornn'}),frozenset({'Malzahar'}),0.020289855072463767,0.059420289855072465,0.005797101449275362,0.28571428571428575,4.80836236933798,1.0,0.0045914723797521526,1.3168115942028988,0.8084319526627218,0.07843137254901962,0.24058991855602027,0.19163763066202094
frozenset({'Tryndamere'}),frozenset({'Ezreal'}),0.03188405797101449,0.06086956521739131,0.008695652173913044,0.27272727272727276,4.480519480519481,1.0,0.006754883427851292,1.291304347826087,0.8023952095808383,0.10344827586206898,0.22558922558922562,0.2077922077922078
frozenset({'Ezreal'}),frozenset({'Tryndamere'}),0.06086956521739131,0.03188405797101449,0.008695652173913044,0.14285714285714285,4.48051948051948,1.0,0.006754883427851292,1.1294685990338165,0.8271604938271605,0.10344827586206898,0.1146278870829769,0.2077922077922078
frozenset({'Hwei'}),frozenset({'Zyra'}),0.030434782608695653,0.043478260869565216,0.005797101449275362,0.19047619047619047,4.3809523809523805,1.0,0.004473850031505986,1.1815856777493607,0.7959641255605381,0.0851063829787234,0.15367965367965367,0.16190476190476188
